;;
    3                                             ;                                         6        ;    3                                             
       1                                          ;    3                                             ;    3                                             
                                                  ;    3                                             ;    3                                             
                                                  ;    3                                             ;    3                                             
                                                  ;   3                                              ;   3                                              
                                                  ;    3                                             ;    3                                             
                  4           9                   ;    3             1       3                       ;    3             1       3                       
                                                  ;    3     9                                       ;    3     9                                       
                        1                         ;    3                                  4          ;    3                                  4          
        7                                         ;    3                                             ;    3                                             
    3                                             ;   6 3                                            ;    3                                             
    3                            9                ;   1 3                                            ;    3                            9                
    3             0                               ;    3     7                                       ;    3             0                               
    3                                         2   ;   3                                       6      ;    3                                         2   
   3                           0               4  ;    3                                        3    ;    3                                        3    
    3               3                             ;    3             1      3                        ;    3               3                             
    3            1       3                        ;    3     9                            0        8 ;    3     9                            0        8 
    3     9                                4      ;    3                                4            ;    3                                4            
    3                                  4        8 ;   3                                              ;   3                                              
    3                                             ;    3                          7                  ;    3                          7                  
    3   2                                         ;    3                           9                 ;    3   2                                         
    3   8                         9               ;    3             0                               ;    3             0                               
    3             0                  1            ;    3                               0          2  ;    3             0                  1            
    3 0                                       2   ;    3                                       3     ;    3                                       3     
     3                      5                 3   ;    3                3            9            2  ;    3                3            9            2  
    3               3                             ;    3     9                            0        8 ;    3               3                             
    3  6   9                           0 0     0  ;     3                                4           ;     3                                4           
    3                                4            ;   43                                     4       ;    3                                4            
   3                                              ;    3                          7                  ;    3                          7                  
    3                          7                  ;    3   2                                         ;    3                          7                  
    33   2                                        ;    3             0 8                           6 ;    33   2                                        
    3             0                3              ;   5 3             0                   1          ;   5 3             0                   1          
    3             0                  1           8;    3           6                   4         3   ;    3           6                   4         3   
    3              0                       6  3   ;    3                3          1  9            2 ;    3                3          1  9            2 
    33                3            9            2 ;    3               3                2            ;    33                3            9            2 
    3               3                             ;     3                                 4 4        ;    3               3                             
     3                                  4         ;    3                               44            ;     3                                  4         
    3          6        0              4          ;    3                          7             3    ;    3          6        0              4          
     3                          7     6           ;    3                            7                ;    3                            7                
    3                         7                   ;    33   2  8                                     ;    33   2  8                                     
    33   2                                        ;  5 3             0           7        1          ;    33   2                                        
   5 3            0                   1           ;   3           6                  4         3     ;   5 3            0                   1           
    3           6                   4        3    ;     3                3          1  9            2;    3           6                   4        3    
    3                3          1  9            2 ;    33                3            9            2 ;    33                3            9            2 
    33                3            9            2 ;    3               38                            ;    33                3            9            2 
    3               3                           3 ;     3                   9              4         ;     3                   9              4         
     3                                   42       ;    3          6          0              4        ;    3          6          0              4        
    3      8    6        0              4         ;    3                            7                ;    3                            7                
    23                             7            0 ;    33   2  8                          93         ;    33   2  8                          93         
0    33   2  8                                    ;    33   2 3              7                       ;    33   2 3              7                       
    33   2      7                                 ;  5 3            0                   1 8          ;    33   2      7                                 
   5 3     9      0                   1           ;    3  6         6                  4        3    ;   5 3     9      0                   1           
    3           6                    4        3   ;    33                3           3 9           2 ;    33                3           3 9           2 
    33                 3             9            ;    33                3            9          2   ;    33                3            9          2   
