;;2
;;2
2                     26                          ;2                                               2 ;DRAW - EveryoneDied
2                                 7     6         ;28                                                ;DRAW - timeout
2                              7                 0;2                                                 ;2                                                 
2                                                 ;2                                9  9             ;2                                9  9             
2             3                                   ;2                                                 ;DRAW - EveryoneDied
2                                                 ;2                                                 ;DRAW - EveryoneDied
2                                   8         5   ;2         9                                       ;DRAW - timeout
2                                       3         ;2                                      3          ;DRAW - timeout
2                                        6        ;2                                                 ;DRAW - timeout
2                                                 ;2                                                 ;DRAW - EveryoneDied
2   4                                             ;2                                                 ;DRAW - EveryoneDied
2                                                 ;2   7   5                                         ;2   7   5                                         
2                                9                ;2                                                 ;DRAW - timeout
2                 6                               ;2                                                 ;DRAW - EveryoneDied
2    4                                            ;2                                                 ;DRAW - EveryoneDied
2               2                                 ;2                                                 ;DRAW - EveryoneDied
2                                                 ;2                                                 ;DRAW - EveryoneDied
2            3                                    ;2              6                                  ;DRAW - timeout
2                                          9      ;2                  4                              ;DRAW - timeout
2                      3                          ;2                                    9            ;DRAW - EveryoneDied
2                                                 ;2                             4                   ;DRAW - EveryoneDied
2                                                 ;52                              0                 ;DRAW - timeout
2                                                 ;2           3                                     ;DRAW - EveryoneDied
2                                                 ;2                                 0      1        ;2                                                 
2                                                 ;2                                                 ;DRAW - EveryoneDied
2                         6                       ;2 8                                               ;DRAW - timeout
2                                        4        ;42                                                ;2                                        4        
2             2                                   ;2                                                 ;DRAW - EveryoneDied
2                        1           7            ;2                        2                        ;DRAW - EveryoneDied
2                                                 ;2                                  6              ;DRAW - EveryoneDied
2                                       6         ;2         3                                       ;DRAW - timeout
2                                                 ;2  1                                           1  ;DRAW - timeout
2                          3                      ;2                                                 ;DRAW - EveryoneDied
2                                                 ;2                                       7         ;DRAW - timeout
2                                                3;2                                 6               ;DRAW - EveryoneDied
2               3                                 ;2                         1                       ;DRAW - EveryoneDied
2                                                 ;2           0               8                     ;DRAW - EveryoneDied
2                                                 ;2                           2         8           ;DRAW - EveryoneDied
2                                                 ;2                             7                9  ;2                             7                9  
2                                      1          ;2                                       3      4  ;DRAW - EveryoneDied
2                                                 ;2                                          2      ;DRAW - EveryoneDied
2            1                                    ;2              8                                  ;DRAW - timeout
2                                                 ;2      8         3                                ;2                                                 
2                                                 ;2                                                 ;DRAW - EveryoneDied
2                          4                      ;2                                                 ;DRAW - EveryoneDied
2        0                                        ;2                              0                  ;DRAW - EveryoneDied
2                   6                             ;2                                             7   ;DRAW - EveryoneDied
2                                                 ;2                                                 ;DRAW - EveryoneDied
