;;2   66
2   66                                            ;2   166  0                                        ;2   66                                            
2   66                                            ;2   6              5               5              ;2   66                                            
2   66                                        2   ;2   666                                           ;2   666                                           
2   66                                            ;2   66 2    9                                     ;2   66 2    9                                     
2   66                                            ;2   66                                            ;2   66                                            
2   66   1                                        ;2   66                                            ;2   66   1                                        
2   66                                            ;21   66       5                                   ;21   66       5                                   
2   66                                            ;2   66                               2            ;2   66                               2            
2   66                                            ;2   66                       6                    ;2   66                       6                    
2 0  66                           2               ;2   66                                            ;2 0  66                           2               
2   66                                            ;2   66                                            ;2   66                                            
2   66               1                  0         ;2   666                                           ;2   666                                           
2   666                                           ;2   66 2    9                                     ;2   666                                           
2   66 2    9                                     ;2    66                                           ;2   66 2    9                                     
2   66                                            ;2   66   1   4                                    ;2   66                                            
2   66   1 2            4                         ;21   66       5                                   ;2   66   1 2            4                         
21 6  66       5                    4             ;2   66                      3         2           ;2   66                      3         2           
2   66          3                     2           ;2   66                        6                   ;2   66                        6                   
2   66                      6                     ;2 0  66                    1       2    5         ;2   66                      6                     
2 0  666                           2              ;2   66                   1                        ;2   66                   1                        
2   66                     7                      ;2   666                                           ;2   66                     7                      
2   666                                     5     ;   666                                            ;2   666                                     5     
2   666                        1      5           ;2   66 2    9                     4               ;2   66 2    9                     4               
2   66 2    9                                     ;2    66                                        9  ;2   66 2    9                                     
2   66           2                              0 ;2   66   1 2       4    4                         ;2   66           2                              0 
2   66   1 2             4                        ;42   66                     3         2           ;2   66   1 2             4                        
2   66       5               3         2     3    ;2   66                        6                   ;2   66       5               3         2     3    
2    666                        6         6       ;2   66                      6                     ;2   66                      6                     
2   66                       6        6           ;2   66                   1          8             ;2   66                       6        6           
2   66     6               1                      ;2   646                     7                     ;2   66     6               1                      
2   66                     7                      ;2   666                                      5    ;2   66                     7                      
2   666                                     5     ;2   66 2    9                     4               ;2   666                                     5     
2   66 27    9                     4              ;2   66 2    9              4  0                   ;2   66 27    9                     4              
2   66 2                                          ;2   66       9    2                               ;2   66       9    2                               
2   66           2                             0  ;2   66   1 2             4                        ;2   66   1 2             4                        
2   66   1 2             4                        ;2   66       5               63     3    2     3  ;2   66   1 2             4                        
2   66       5               3         2     3  1 ;2   66                6       6                   ;2   66       5               3         2     3  1 
2   66                       6                    ;23   66                       6        6          ;23   66                       6        6          
2   66                       6       8 6          ;2   66    6  1             1                      ;2   66    6  1             1                      
2   6     6               1         0       0     ;2   66                     7         1            ;2   66                     7         1            
2   66                      7                     ;2   666                                 0    5    ;2   666                                 0    5    
2 2  666                                   5      ;2   66 27    9                     4       4      ;2   66 27    9                     4       4      
2    66 27    9                     4             ;2   66       9   0 2                              ;2    66 27    9                     4             
2   66    7   9    2                              ;2  8 66   1 2             4                       ;2   66    7   9    2                              
2   66   1 2             4                        ;2   66   51 2             4                       ;2   66   1 2             4                        
2   66  1 2            4           9              ;2   66       5               3         2     3  1 ;2   66       5               3         2     3  1 
2   66       5               3         2     3  1 ;23    66                       6        6         ;23    66                       6        6         
23   666                       6        6         ;2   66    6 5 1              1                    ;2   66    6 5 1              1                    
2   66   6  1             1    9                0 ;2   666                     7   5      1          ;2   66   6  1             1    9                0 
2   66                     7   8      1           ;2   666      5         0                 0    5   ;2   666      5         0                 0    5   
2   6660                                  0    5  ;2   66 27    9                    3 4       4     ;2   6660                                  0    5  
2   66 27   9                      4       4      ;2    66 27    9                     4     3       ;2   66 27   9                      4       4      
2    66 27    9                    4         8    ;2   66    7   9    26                             ;2   66    7   9    26                             
2   66     67   9    2                            ;2   66   1 2              4                    2  ;2   66     67   9    2                            
2   66  1 2             4                         ;2   66       5               3         2     3  01;2   66  1 2             4                         
2  686       5               3         2     3  1 ;23    66                       61        6        ;23    66                       61        6        
231    66                      6        6         ;2   66    6 5 1             7 1         9         ;231    66                      6        6         
2   66     5 1              1                     ;2   66   6  1             1   9               0   ;2   66   6  1             1   9               0   
2   66   6   1    9         1    9                ;2   666      5         0                 0    5   ;2   666      5         0                 0    5   
2   666      5         0                 00    55 ;2   6660            7                      0    5 ;2   6660            7                      0    5 
2   6660                                 7 0    5 ;2   66 27   9                     4       4       ;2   6660                                 7 0    5 
2   66 274   9                      4       4     ;2   66    7   9    269                         1  ;2   66 274   9                      4       4     
2   66    7 6  9    26                            ;2   666     67   9    2                           ;2   66    7 6  9    26                            
2   664     67   9    2                           ;2   66  1 2            4                          ;2   664     67   9    2                           
2   66  1 2    7         4                        ;23    66          9             61       6        ;23    66          9             61       6        
23    66                       61       4 6       ;231    66                      6       6          ;231    66                      6       6          
231    66                      6        6         ;2   66   6  1        5      1   9               0 ;231    66                      6        6         
2   66   6  1             1   9   0            0  ;2   666      58         0                 0    5  ;2   666      58         0                 0    5  
2   666      5         0                0   5     ;2   6660            7                     0    5  ;2   666      5         0                0   5     
2   6660            7                      0    5 ;2   6660                                5  7 0    ;2   6660            7                      0    5 
2   6660                                 74 0   5 ;2   66 274   9                       4       4    ;2   66 274   9                       4       4    
2   66 274 0  9                     4       4   0 ;2   66    7 6 9    26                             ;2   66    7 6 9    26                             
2   66    7 96  9    26                           ;2   664     67   9    2                           ;2   66    7 96  9    26                           
2   664     67    9    2    2                     ;23    66          9              61       6       ;23    66          9              61       6       
23    66          9             61       6 9      ;231    66                      6      6           ;231    66                      6      6           
231    6 6                     6       6          ;2 31    66                       6        6       ;2 31    66                       6        6       
