2;2                                  0              
2;2                                  0              ;2                                                 
2;2                                  0              ;2                                                 ;2                    7                           5
2;2                                  0              ;2                                                 ;2                    7                           5
2;2                                  0              ;2                                                 ;2                    7                           5;2                8                                
2                                  0              ;2                                                 ;2                    7                           5;2                8                                ;2                                   0             
2                                                 ;2                    7                           5;2                                   0             ;2           9                                     
2                                                 ;2                    7                           5;2                                   0             ;2           9                                     ;2                                                 
2                                                 ;2                                   0             ;2           9                                     ;2                                                 ;2        9                                        
2                                   0             ;2           9                                     ;2                                                 ;2        9                                        
2                                   0             ;2           9                                     ;2                                                 ;2        9                                        ;2                                  0              
2                                   0             ;2           9                                     ;2                                                 ;2                                  0              ;2                                    0            
2                                   0             ;2                                                 ;2                                  0              ;2                                    0            ;2                                9 0              
2                                   0             ;2                                                 ;2                                    0            ;2                                9 0              ;2                                   60            
2                                                 ;2                                    0            ;2                                9 0              ;2                                   60            ;2                                                 
2                                    0            ;2                                9 0              ;2                                   60            ;2                                                 ;2           0                         0           
2                                    0            ;2                                   60            ;2                                                 ;2           0                         0           ;2                                     0           
2                                    0            ;2                                   60            ;2           0                         0           ;2                                     0           ;2                                     0           
2                                   60            ;2           0                         0           ;2                                     0           ;2                                     0           ;2                                   60            
2           0                         0           ;2                                     0           ;2                                     0           ;2                                   60            ;2           0                        0            
2                                     0           ;2                                     0           ;2                                   60            ;2           0                        0            ;2                                      0          
2                                     0           ;2                                     0           ;2           0                        0            ;2                                      0          ;2                                     0           
2                                     0           ;2           0                        0            ;2                                      0          ;2                                     0           ;2                                    0            
2           0                        0            ;2                                      0          ;2                                     0           ;2                                    0            ;2   9        0                        0           
2                                      0          ;2                                     0           ;2                                    0            ;2   9        0                        0           ;2      8                                0         
2                                      0          ;2                                     0           ;2                                    0            ;2      8                                0         ;2               1     9                  0        
2                                      0          ;2                                     0           ;2                                    0            ;2               1     9                  0        ;2                                      0          
2                                      0          ;2                                    0            ;2               1     9                  0        ;2                                      0          ;2                                     0           
2                                    0            ;2               1     9                  0        ;2                                      0          ;2                                     0           ;2                                   0             
2               1     9                  0        ;2                                      0          ;2                                     0           ;2                                   0             ;2  4             1     9            2      0      
2                                      0          ;2                                     0           ;2                                   0             ;2  4             1     9            2      0      ;2                                  6    0         
2                                      0          ;2                                     0           ;2                                   0             ;2                                  6    0         ;2                                       0         
2                                      0          ;2                                     0           ;2                                  6    0         ;2                                       0         ;2   0                                    0        
2                                      0          ;2                                     0           ;2                                       0         ;2   0                                    0        ;2                 0                     0         
2                                     0           ;2                                       0         ;2   0                                    0        ;2                 0                     0         ;2   2                      6            0         
2                                       0         ;2   0                                    0        ;2                 0                     0         ;2   2                      6            0         ;2                                       0         
2                                       0         ;2   0                                    0        ;2   2                      6            0         ;2                                       0         ;22                                       0        
2                                       0         ;2   0                                    0        ;2                                       0         ;22                                       0        ;2                                        70       
2   0                                    0        ;2                                       0         ;22                                       0        ;2                                        70       ;2   0                                       0     
2   0                                    0        ;2                                       0         ;2                                        70       ;2   0                                       0     ;2   0                                   0         
2   0                                    0        ;2                                        70       ;2   0                                       0     ;2   0                                   0         ;2   0                          6          0       
2                                        70       ;2   0                                       0     ;2   0                                   0         ;2   0                          6          0       ;2                                          70     
2   0                                       0     ;2   0                                   0         ;2   0                          6          0       ;2                                          70     ;2   0                   8                    0    
2   0                                       0     ;2   0                          6          0       ;2                                          70     ;2   0                   8                    0    ;2   0                                        0    
2   0                          6          0       ;2                                          70     ;2   0                   8                    0    ;2   0                                        0    ;2   0                      7     6          0     
2   0                          6          0       ;2   0                   8                    0    ;2   0                                        0    ;2   0                      7     6          0     ;2   0                          6         0        
2   0                          6          0       ;2   0                   8                    0    ;2   0                      7     6          0     ;2   0                          6         0        ;2   0                          6 4         0      
2   0                          6          0       ;2   0                      7     6          0     ;2   0                          6         0        ;2   0                          6 4         0      ;2   0  8                        6          0      
2   0                      7     6          0     ;2   0                          6         0        ;2   0                          6 4         0      ;2   0  8                        6          0      ;2   0                       7    6          0   4 
2   0                          6         0        ;2   0                          6 4         0      ;2   0  8                        6          0      ;2   0                       7    6          0   4 ;2   0                          6        1 90      
2   0                          6 4         0      ;2   0  8                        6          0      ;2   0                       7    6          0   4 ;2   0                          6        1 90      ;2   0                         6 64         0 6    
2   0                          6 4         0      ;2   0                       7    6          0   4 ;2   0                          6        1 90      ;2   0                         6 64         0 6    ;2   0 3                         6 48         0    
2   0                          6 4         0      ;2   0                          6        1 90      ;2   0                         6 64         0 6    ;2   0 3                         6 48         0    ;2   80                          6 4         0     
2   0                          6 4         0      ;2   0                         6 64         0 6    ;2   0 3                         6 48         0    ;2   80                          6 4         0     ;2   0  1                        6 4         0     
2   0                          6 4         0      ;2   0 3                         6 48         0    ;2   80                          6 4         0     ;2   0  1                        6 4         0     ;2   0                          6 4         0      
2   0                          6 4         0      ;2   80                          6 4         0     ;2   0  1                        6 4         0     ;2   0                          6 4         0      ;82   0                          6 4         0     
2   80                          6 4         0     ;2   0  1                        6 4         0     ;2   0                          6 4         0      ;82   0                          6 4         0     ;2   80                          6 4         0     
2   80                          6 4         0     ;2   0                          6 4         0      ;82   0                          6 4         0     ;2   80                          6 4         0     ;2   80                          65 4         0    
82   0                          6 4         0     ;2   80                          6 4         0     ;2   80                          65 4         0    ;82   0                          6 4         0     
82   0                          6 4         0     ;2   80                          6 4         0     ;2   80                          65 4         0    ;82   0                          6 4         0     ;82   0                          6 4         0     
82   0                          6 4         0     ;2   80                          65 4         0    ;82   0                          6 4         0     ;82   0                          6 4         0     ;82   0 0                         6 4         0    
82   0                          6 4         0     ;2   80                          65 4         0    ;82   0                          6 4         0     ;82   0 0                         6 4         0    ;82   0                8          6 4         0    
2   80                          65 4         0    ;82   0                          6 4         0     ;82   0 0                         6 4         0    ;82   0                8          6 4         0    ;2   80                          65 4        0     
82   0                          6 4         0     ;82   0 0                         6 4         0    ;82   0                8          6 4         0    ;2   80                          65 4        0     ;82   0                         6 4         0      
82   0                          6 4         0     ;82   0                8          6 4         0    ;2   80                          65 4        0     ;82   0                         6 4         0      ;82   0              2            6 4         0    
82   0                          6 4         0     ;82   0                8          6 4         0    ;82   0                         6 4         0      ;82   0              2            6 4         0    ;82   0                         6 4         0      
82   0                          6 4         0     ;82   0                8          6 4         0    ;82   0                         6 4         0      ;82   0                         6 4         0      ;82   0                         6 4         0      
82   0                          6 4         0     ;82   0                8          6 4         0    ;82   0                         6 4         0      ;82   0                         6 4         0      ;82   0   8                       65 4         0   
82   0                          6 4         0     ;82   0                         6 4         0      ;82   0                         6 4         0      ;82   0   8                       65 4         0   ;82  0                          6 4          0     
82   0                         6 4         0      ;82   0                         6 4         0      ;82   0   8                       65 4         0   ;82  0                          6 4          0     ;82   0         9                 6 4         0    
82   0                         6 4         0      ;82   0                         6 4         0      ;82  0                          6 4          0     ;82   0         9                 6 4         0    ;82   70                         6 4         0     
82   0                         6 4         0      ;82  0                          6 4          0     ;82   0         9                 6 4         0    ;82   70                         6 4         0     ;82   0                       7  6 4         0     
82   0                         6 4         0      ;82   0         9                 6 4         0    ;82   70                         6 4         0     ;82   0                       7  6 4         0     ;82   0                        6 4         0       
82   0                         6 4         0      ;82   0         9                 6 4         0    ;82   70                         6 4         0     ;82   0                        6 4         0       ;82   0                         6 4         0      
82   0         9                 6 4         0    ;82   70                         6 4         0     ;82   0                        6 4         0       ;82   0                         6 4         0      ;82   0    5     9                 6 4         0   
82   0         9                 6 4         0    ;82   70                         6 4         0     ;82   0                         6 4         0      ;82   0    5     9                 6 4         0   ;82  0         9                 6 4         0     
82   70                         6 4         0     ;82   0    5     9                 6 4         0   ;82  0         9                 6 4         0     ;82   70                        6 4         0      
82   70                         6 4         0     ;82   0    5     9                 6 4         0   ;82  0         9                 6 4         0     ;82   70                        6 4         0      ;82   70                        0 6 4         0    
82   70                         6 4         0     ;82  0         9                 6 4         0     ;82   70                        6 4         0      ;82   70                        0 6 4         0    ;82   70     7         3            6 4         0  
82  0         9                 6 4         0     ;82   70                        6 4         0      ;82   70                        0 6 4         0    ;82   70     7         3            6 4         0  ;82  0         9                 56 4   5    4  0  
82  0         9                 6 4         0     ;82   70                        6 4         0      ;82   70                        0 6 4         0    ;82  0         9                 56 4   5    4  0  ;82  0         9                  6 4         0    
82  0         9                 6 4         0     ;82   70                        6 4         0      ;82   70                        0 6 4         0    ;82  0         9                  6 4         0    ;82  0        0  9                 6 4         0   
82   70                        6 4         0      ;82   70                        0 6 4         0    ;82  0         9                  6 4         0    ;82  0        0  9                 6 4         0   ;82   70                        6 4          0     
82   70                        6 4         0      ;82  0         9                  6 4         0    ;82  0        0  9                 6 4         0   ;82   70                        6 4          0     ;82   705    1                    6 4         0    
